iter	Logloss
0	0.6372775241
1	0.5935142414
2	0.5589798288
3	0.530489556
4	0.5084411569
5	0.4902209138
6	0.4748409861
7	0.4636738387
8	0.4545577543
9	0.4463631806
10	0.4397392469
11	0.4345837134
12	0.4300282639
13	0.4258892954
14	0.4218682642
15	0.4185536194
16	0.4160996046
17	0.4132478386
18	0.4106047635
19	0.4081591184
20	0.4063817817
21	0.404047485
22	0.4020859479
23	0.4002675247
24	0.3980347307
25	0.3968908689
26	0.3952039096
27	0.3937743705
28	0.3923211087
29	0.3909161972
30	0.3891697898
31	0.3878017862
32	0.3853821841
33	0.3838170456
34	0.382234787
35	0.3810958477
36	0.3798359848
37	0.3785000225
38	0.376975025
39	0.3753076672
40	0.3740930988
41	0.3728944309
42	0.3715215147
43	0.3696440251
44	0.3685393074
45	0.3668373993
46	0.3649782814
47	0.3636000751
48	0.3623762167
49	0.3616774789
50	0.3597123942
51	0.3587386515
52	0.3573276558
53	0.3560899165
54	0.3550521322
55	0.3545107177
56	0.3530624243
57	0.3516614796
58	0.3505945002
59	0.3497683911
60	0.348005572
61	0.3464415429
62	0.3450426029
63	0.3439560777
64	0.3425755529
65	0.3408632575
66	0.3394152657
67	0.3382978695
68	0.3367192169
69	0.3353400652
70	0.3340816454
71	0.3324517302
72	0.3308399403
73	0.3289099102
74	0.327335358
75	0.3263962777
76	0.325313531
77	0.3237039642
78	0.3225332382
79	0.3208626712
80	0.3198428764
81	0.3187112652
82	0.3167731783
83	0.3158516185
84	0.3143589363
85	0.3127080413
86	0.3113691024
87	0.3093608054
88	0.3083475872
89	0.3069690523
90	0.3054435827
91	0.3045964607
92	0.3030442997
93	0.3017137285
94	0.3007549015
95	0.3000175859
96	0.2988583304
97	0.2980863921
98	0.2968627884
99	0.295187638
100	0.2943753288
101	0.2929990178
102	0.2916852682
103	0.2904241139
104	0.2895959418
105	0.2885413881
106	0.2873126971
107	0.2860412301
108	0.2850259158
109	0.2835816572
110	0.2825427117
111	0.2811374341
112	0.2803683674
113	0.2791243041
114	0.2780118649
115	0.2770764065
116	0.2763882213
117	0.2748908894
118	0.2741109566
119	0.2728602356
120	0.2718413215
121	0.2709166196
122	0.2695640719
123	0.2687471708
124	0.2675398064
125	0.2664788595
126	0.2656144767
127	0.2650292204
128	0.2640964643
129	0.2628503452
130	0.261697748
131	0.260777236
132	0.2600408067
133	0.2590192199
134	0.2580226393
135	0.2574154019
136	0.2564260678
137	0.2558199793
138	0.2546758952
139	0.2535662835
140	0.2525490516
